iter	Logloss
0	0.6215809752
50	0.01009532942
100	0.002775247409
150	0.001899116138
200	0.001557131642
250	0.001331829458
300	0.001168916814
350	0.001018797569
400	0.0009009672756
450	0.0007777835873
499	0.0006829669524
